Category,Exercise,Variation
Hinge,Deadlift,"Mixed, Wide, Barbell"
Press,Smith Machine Press,"Supinated, Barbell, Single Arm"
Hinge,Romanian Deadlift,"Neutral, Cable, Elevated Heels"
Pull,T-Bar Row,"Mixed, Staggered, Dumbbell"
Squat,Front Squat,"Supinated, Staggered, Bodyweight"
Pull,T-Bar Row,"Pronated, Dumbbell, Deficit"
Pull,Pull-Up,"Mixed, Wide, Dumbbell"
Pull,Chest Supported Row,"Mixed, Shoulder Width, Barbell"
Isolation,Calf Raise,"Mixed, Wide, Bodyweight"
Hinge,Hip Thrust,"Neutral, Wide, Smith Machine"
Pull,Chin-Up,"Pronated, Barbell, Deficit"
Isolation,Rear Delt Fly,"False, Shoulder Width, Bodyweight"
Press,Smith Machine Press,"Neutral, Wide, Machine"
Pull,Chin-Up,"False, Narrow, Cable"
Press,Dip,"Pronated, Staggered, Smith Machine"
Hinge,Hip Thrust,"Pronated, Shoulder Width, Smith Machine"
Press,Barbell Bench Press,"Supinated, Barbell, Feet Elevated"
Pull,Lat Pulldown,"Pronated, Split, Machine"
Isolation,Tricep Pushdown,"Neutral, Staggered, Smith Machine"
Isolation,Leg Extension,"False, Staggered, Machine"
Isolation,Calf Raise,"Neutral, Narrow, Cable"
Pull,Chest Supported Row,"Pronated, Machine, Bands"
Press,Smith Machine Press,"Neutral, Machine, Bands"
Pull,Chin-Up,"Neutral, Machine, Feet Elevated"
Isolation,Leg Curl,"Neutral, Shoulder Width, Machine"
Hinge,Stiff-Leg Deadlift,"Supinated, Wide, Machine"
Press,Barbell Bench Press,"False, Narrow, Barbell"
Squat,Goblet Squat,"Supinated, Smith Machine, Chains"
Pull,Lat Pulldown,"Pronated, Split, Cable"
Hinge,Stiff-Leg Deadlift,"False, Staggered, Smith Machine"
Isolation,Lateral Raise,"False, Wide, Dumbbell"
Squat,Safety Bar Squat,"Pronated, Cable, Chains"
Pull,Pull-Up,"False, Split, Dumbbell"
Pull,Chin-Up,"Neutral, Staggered, Smith Machine"
Hinge,Deadlift,"Pronated, Cable, Elevated Heels"
Hinge,Good Morning,"Neutral, Split, Dumbbell"
Isolation,Rear Delt Fly,"Pronated, Smith Machine, Chains"
Press,Overhead Press,"Pronated, Split, Barbell"
Squat,Hack Squat,"Supinated, Smith Machine, Chains"
Hinge,Romanian Deadlift,"Supinated, Narrow, Barbell"
Squat,Safety Bar Squat,"Supinated, Staggered, Cable"
Press,Decline Bench Press,"False, Wide, Bodyweight"
Pull,Pull-Up,"Neutral, Machine, Single Arm"
Press,Smith Machine Press,"Pronated, Bodyweight, Chains"
Squat,Goblet Squat,"Neutral, Staggered, Dumbbell"
Isolation,Rear Delt Fly,"Mixed, Shoulder Width, Bodyweight"
Pull,Pull-Up,"False, Split, Cable"
Isolation,Lateral Raise,"Neutral, Shoulder Width, Barbell"
Isolation,Leg Extension,"Neutral, Machine, Deficit"
Press,Incline Bench Press,"Pronated, Dumbbell, Single Arm"
Press,Decline Bench Press,"Supinated, Barbell, Bands"
Press,Machine Chest Press,"Supinated, Wide, Smith Machine"
Press,Smith Machine Press,"Pronated, Barbell, Elevated Heels"
Pull,Cable Row,"Neutral, Staggered, Barbell"
Hinge,Stiff-Leg Deadlift,"Pronated, Smith Machine, Feet Elevated"
Press,Barbell Bench Press,"Mixed, Split, Dumbbell"
Isolation,Leg Extension,"Neutral, Bodyweight, Single Arm"
Squat,Back Squat,"Neutral, Wide, Cable"
Press,Smith Machine Press,"Supinated, Shoulder Width, Cable"
Hinge,Hip Thrust,"Pronated, Narrow, Machine"
Squat,Goblet Squat,"Mixed, Narrow, Smith Machine"
Isolation,Lateral Raise,"False, Shoulder Width, Bodyweight"
Pull,Cable Row,"Neutral, Barbell, Deficit"
Hinge,Stiff-Leg Deadlift,"Neutral, Cable, Elevated Heels"
Squat,Safety Bar Squat,"Supinated, Barbell, Chains"
Press,Barbell Bench Press,"Supinated, Shoulder Width, Dumbbell"
Isolation,Leg Curl,"Neutral, Cable, Bands"
Hinge,Good Morning,"Mixed, Split, Smith Machine"
Isolation,Tricep Pushdown,"Neutral, Staggered, Machine"
Pull,T-Bar Row,"Mixed, Staggered, Barbell"
Squat,Back Squat,"Neutral, Barbell, Single Arm"
Press,Incline Bench Press,"Neutral, Split, Cable"
Squat,Front Squat,"Mixed, Shoulder Width, Cable"
Pull,Pull-Up,"Pronated, Bodyweight, Single Arm"
Press,Machine Chest Press,"Mixed, Wide, Smith Machine"
Press,Smith Machine Press,"Supinated, Shoulder Width, Smith Machine"
Squat,Front Squat,"Pronated, Bodyweight, Feet Elevated"
Pull,Chest Supported Row,"Neutral, Narrow, Machine"
Press,Decline Bench Press,"Neutral, Dumbbell, Feet Elevated"
Squat,Front Squat,"Supinated, Split, Dumbbell"
Pull,T-Bar Row,"Mixed, Shoulder Width, Barbell"
Pull,Cable Row,"Neutral, Cable, Feet Elevated"
Hinge,Back Extension,"Neutral, Narrow, Dumbbell"
Press,Smith Machine Press,"Neutral, Barbell, Chains"
Press,Dumbbell Bench Press,"Supinated, Bodyweight, Feet Elevated"
Press,Machine Chest Press,"Supinated, Cable, Single Arm"
Pull,Lat Pulldown,"Mixed, Staggered, Dumbbell"
Pull,Cable Row,"Supinated, Staggered, Machine"
Isolation,Lateral Raise,"Pronated, Smith Machine, Chains"
Isolation,Rear Delt Fly,"False, Staggered, Bodyweight"
Pull,Lat Pulldown,"Pronated, Dumbbell, Deficit"
Isolation,Rear Delt Fly,"Supinated, Bodyweight, Elevated Heels"
Squat,Safety Bar Squat,"Pronated, Machine, Feet Elevated"
Hinge,Stiff-Leg Deadlift,"False, Staggered, Barbell"
Squat,Front Squat,"Supinated, Split, Machine"
Pull,Pull-Up,"Mixed, Split, Cable"
Pull,T-Bar Row,"Pronated, Machine, Bands"
Squat,Safety Bar Squat,"False, Wide, Machine"
Squat,Goblet Squat,"Pronated, Narrow, Barbell"
Isolation,Bicep Curl,"Supinated, Split, Barbell"
Isolation,Leg Extension,"False, Narrow, Smith Machine"
Press,Incline Bench Press,"Supinated, Dumbbell, Feet Elevated"
Isolation,Lateral Raise,"Mixed, Shoulder Width, Bodyweight"
Isolation,Tricep Pushdown,"Neutral, Shoulder Width, Dumbbell"
Hinge,Romanian Deadlift,"Supinated, Staggered, Smith Machine"
Hinge,Deadlift,"Pronated, Smith Machine, Bands"
Hinge,Stiff-Leg Deadlift,"Supinated, Narrow, Barbell"
Press,Smith Machine Press,"Mixed, Wide, Cable"
Isolation,Tricep Pushdown,"False, Wide, Cable"
Squat,Hack Squat,"Pronated, Narrow, Barbell"
Press,Incline Bench Press,"Pronated, Dumbbell, Elevated Heels"
Squat,Zercher Squat,"Supinated, Split, Barbell"
Pull,Pull-Up,"Pronated, Wide, Bodyweight"
Hinge,Back Extension,"Supinated, Cable, Elevated Heels"
Pull,Cable Row,"Neutral, Dumbbell, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Supinated, Machine, Chains"
Press,Smith Machine Press,"Pronated, Cable, Deficit"
Squat,Goblet Squat,"Supinated, Narrow, Machine"
Squat,Zercher Squat,"Supinated, Shoulder Width, Bodyweight"
Press,Dumbbell Bench Press,"Supinated, Smith Machine, Bands"
Pull,Chest Supported Row,"Pronated, Split, Barbell"
Press,Barbell Bench Press,"Mixed, Narrow, Machine"
Squat,Zercher Squat,"Neutral, Smith Machine, Elevated Heels"
Hinge,Good Morning,"Mixed, Staggered, Dumbbell"
Hinge,Good Morning,"Pronated, Dumbbell, Deficit"
Isolation,Rear Delt Fly,"Mixed, Split, Machine"
Squat,Zercher Squat,Standard
Isolation,Leg Extension,"Mixed, Wide, Dumbbell"
Squat,Hack Squat,"Supinated, Narrow, Machine"
Press,Overhead Press,"Pronated, Bodyweight, Bands"
Press,Smith Machine Press,"Supinated, Smith Machine, Elevated Heels"
Press,Dip,"Supinated, Barbell, Bands"
Pull,Pull-Up,"Neutral, Wide, Smith Machine"
Press,Barbell Bench Press,"Neutral, Staggered, Barbell"
Hinge,Stiff-Leg Deadlift,"Neutral, Staggered, Cable"
Pull,Pull-Up,"Pronated, Shoulder Width, Smith Machine"
Squat,Safety Bar Squat,"Pronated, Staggered, Smith Machine"
Press,Decline Bench Press,"Supinated, Staggered, Bodyweight"
Hinge,Back Extension,"Mixed, Narrow, Barbell"
Isolation,Lateral Raise,"False, Staggered, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Neutral, Bodyweight, Deficit"
Isolation,Tricep Pushdown,"Pronated, Shoulder Width, Dumbbell"
Isolation,Lateral Raise,"Supinated, Bodyweight, Elevated Heels"
Isolation,Calf Raise,"False, Split, Machine"
Press,Smith Machine Press,"Neutral, Barbell, Bands"
Press,Overhead Press,"Mixed, Shoulder Width, Dumbbell"
Pull,Cable Row,"Supinated, Narrow, Bodyweight"
Pull,T-Bar Row,"Neutral, Narrow, Machine"
Squat,Back Squat,"Pronated, Wide, Barbell"
Isolation,Leg Extension,"Mixed, Shoulder Width, Machine"
Press,Incline Bench Press,"Pronated, Wide, Smith Machine"
Pull,Lat Pulldown,"Mixed, Staggered, Barbell"
Press,Barbell Bench Press,"Pronated, Barbell, Single Arm"
Press,Dip,"Neutral, Dumbbell, Feet Elevated"
Press,Incline Bench Press,"Pronated, Narrow, Smith Machine"
Squat,Goblet Squat,"Supinated, Split, Smith Machine"
Isolation,Leg Extension,"False, Split, Dumbbell"
Isolation,Leg Extension,"Supinated, Dumbbell, Chains"
Press,Incline Bench Press,"Pronated, Machine, Deficit"
Isolation,Calf Raise,"False, Shoulder Width, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Supinated, Staggered, Smith Machine"
Pull,Lat Pulldown,"Mixed, Shoulder Width, Barbell"
Pull,Barbell Row,"Neutral, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Barbell, Deficit"
Squat,Hack Squat,"Supinated, Split, Smith Machine"
Hinge,Stiff-Leg Deadlift,"False, Narrow, Cable"
Hinge,Deadlift,"Supinated, Bodyweight, Deficit"
Isolation,Leg Extension,"Neutral, Machine, Single Arm"
Press,Incline Bench Press,"Neutral, Machine, Chains"
Hinge,Hip Thrust,"Neutral, Split, Bodyweight"
Pull,Chin-Up,"Neutral, Cable, Single Arm"
Squat,Back Squat,"Neutral, Staggered, Smith Machine"
Isolation,Leg Extension,"False, Split, Cable"
Hinge,Stiff-Leg Deadlift,"Neutral, Machine, Feet Elevated"
Pull,Lat Pulldown,"Pronated, Machine, Bands"
Squat,Front Squat,"Neutral, Smith Machine, Feet Elevated"
Isolation,Lateral Raise,"Mixed, Split, Machine"
Press,Incline Bench Press,"Supinated, Bodyweight, Bands"
Press,Smith Machine Press,"False, Wide, Smith Machine"
Pull,Pull-Up,"Pronated, Narrow, Machine"
Pull,Barbell Row,"Pronated, Staggered, Cable"
Press,Machine Chest Press,"Mixed, Shoulder Width, Smith Machine"
Press,Smith Machine Press,"False, Shoulder Width, Machine"
Press,Decline Bench Press,"Supinated, Dumbbell, Feet Elevated"
Squat,Safety Bar Squat,"Neutral, Wide, Barbell"
Press,Incline Bench Press,"Mixed, Split, Bodyweight"
Hinge,Good Morning,"Mixed, Staggered, Barbell"
Isolation,Rear Delt Fly,"Pronated, Staggered, Barbell"
Squat,Belt Squat,"Pronated, Split, Barbell"
Press,Incline Bench Press,"False, Split, Barbell"
Squat,Safety Bar Squat,"Neutral, Barbell, Deficit"
Isolation,Bicep Curl,"Pronated, Dumbbell, Single Arm"
Pull,Barbell Row,"False, Narrow, Machine"
Hinge,Hip Thrust,"Pronated, Staggered, Smith Machine"
Press,Machine Chest Press,"Mixed, Wide, Barbell"
Pull,T-Bar Row,"Pronated, Split, Barbell"
Hinge,Deadlift,"Neutral, Wide, Dumbbell"
Isolation,Leg Extension,"Pronated, Bodyweight, Single Arm"
Press,Decline Bench Press,"Mixed, Narrow, Cable"
Press,Decline Bench Press,"Pronated, Dumbbell, Elevated Heels"
Press,Barbell Bench Press,"Supinated, Narrow, Dumbbell"
Pull,Barbell Row,"Neutral, Bodyweight, Bands"
Press,Dumbbell Bench Press,"Neutral, Shoulder Width, Barbell"
Hinge,Good Morning,"Mixed, Shoulder Width, Barbell"
Squat,Back Squat,"Pronated, Bodyweight, Bands"
Hinge,Back Extension,"Neutral, Barbell, Feet Elevated"
Isolation,Bicep Curl,"Neutral, Split, Cable"
Press,Decline Bench Press,"Pronated, Bodyweight, Feet Elevated"
Press,Overhead Press,"Pronated, Dumbbell, Chains"
Press,Overhead Press,"Pronated, Machine, Single Arm"
Squat,Safety Bar Squat,"Neutral, Cable, Feet Elevated"
Squat,Zercher Squat,"Pronated, Shoulder Width, Cable"
Press,Dumbbell Bench Press,"False, Shoulder Width, Bodyweight"
Isolation,Lateral Raise,"Supinated, Dumbbell, Single Arm"
Hinge,Deadlift,"Pronated, Smith Machine, Single Arm"
Press,Dip,"Supinated, Staggered, Bodyweight"
Isolation,Leg Extension,"Mixed, Split, Cable"
Hinge,Good Morning,"Pronated, Machine, Bands"
Press,Barbell Bench Press,"Supinated, Machine, Feet Elevated"
Isolation,Leg Curl,"Supinated, Barbell, Elevated Heels"
Press,Dumbbell Bench Press,"False, Shoulder Width, Dumbbell"
Squat,Back Squat,"Mixed, Shoulder Width, Dumbbell"
Squat,Goblet Squat,"Pronated, Cable, Chains"
Hinge,Deadlift,"Pronated, Split, Smith Machine"
Squat,Zercher Squat,"Pronated, Dumbbell, Bands"
Squat,Back Squat,"Neutral, Staggered, Machine"
Press,Incline Bench Press,"Pronated, Cable, Single Arm"
Press,Decline Bench Press,"Supinated, Split, Machine"
Squat,Belt Squat,"Pronated, Wide, Barbell"
Isolation,Tricep Pushdown,"Supinated, Bodyweight, Feet Elevated"
Pull,Lat Pulldown,"Neutral, Narrow, Machine"
Squat,Hack Squat,"Pronated, Cable, Chains"
Isolation,Leg Curl,"Supinated, Cable, Elevated Heels"
Isolation,Leg Extension,"Pronated, Wide, Bodyweight"
Pull,Chin-Up,"Supinated, Machine, Bands"
Hinge,Deadlift,"Neutral, Smith Machine, Chains"
Pull,Chin-Up,"Neutral, Shoulder Width, Bodyweight"
Press,Machine Chest Press,"Mixed, Narrow, Smith Machine"
Squat,Zercher Squat,"False, Wide, Barbell"
Hinge,Deadlift,"Supinated, Barbell, Feet Elevated"
Squat,Safety Bar Squat,"False, Wide, Bodyweight"
Squat,Hack Squat,"Supinated, Staggered, Cable"
Pull,Chin-Up,"Supinated, Bodyweight, Feet Elevated"
Isolation,Rear Delt Fly,"Mixed, Wide, Machine"
Hinge,Deadlift,"False, Narrow, Barbell"
Press,Decline Bench Press,"Pronated, Machine, Deficit"
Squat,Goblet Squat,"Supinated, Barbell, Chains"
Isolation,Rear Delt Fly,"Pronated, Cable, Bands"
Pull,Chin-Up,"Pronated, Staggered, Cable"
Press,Overhead Press,"Supinated, Shoulder Width, Bodyweight"
Squat,Front Squat,"Neutral, Dumbbell, Deficit"
Squat,Back Squat,"Neutral, Shoulder Width, Dumbbell"
Press,Overhead Press,"Neutral, Smith Machine, Elevated Heels"
Press,Incline Bench Press,"Supinated, Smith Machine, Feet Elevated"
Isolation,Leg Extension,"Pronated, Shoulder Width, Smith Machine"
Squat,Back Squat,"False, Wide, Cable"
Press,Dip,"Supinated, Dumbbell, Feet Elevated"
Pull,Lat Pulldown,"Supinated, Wide, Bodyweight"
Press,Overhead Press,Standard
Squat,Zercher Squat,"Neutral, Wide, Machine"
Squat,Hack Squat,"Supinated, Barbell, Chains"
Isolation,Tricep Pushdown,"Supinated, Smith Machine, Bands"
Press,Smith Machine Press,"Neutral, Shoulder Width, Machine"
Hinge,Good Morning,"Neutral, Narrow, Machine"
Pull,Barbell Row,"False, Wide, Dumbbell"
Press,Dip,"Mixed, Narrow, Cable"
Press,Smith Machine Press,"Supinated, Cable, Chains"
Press,Dip,"Pronated, Dumbbell, Elevated Heels"
Press,Incline Bench Press,"Neutral, Machine, Elevated Heels"
Press,Decline Bench Press,"Mixed, Split, Bodyweight"
Press,Barbell Bench Press,"Pronated, Wide, Dumbbell"
Pull,Lat Pulldown,"Pronated, Split, Barbell"
Hinge,Deadlift,"Mixed, Split, Dumbbell"
Isolation,Rear Delt Fly,"False, Split, Bodyweight"
Pull,Cable Row,"Supinated, Split, Dumbbell"
Squat,Goblet Squat,"False, Wide, Machine"
Squat,Front Squat,"Supinated, Cable, Deficit"
Squat,Back Squat,"Pronated, Dumbbell, Chains"
Squat,Back Squat,"Pronated, Machine, Single Arm"
Squat,Belt Squat,"Pronated, Bodyweight, Bands"
Press,Dip,"Pronated, Bodyweight, Feet Elevated"
Isolation,Bicep Curl,"Pronated, Wide, Smith Machine"
Isolation,Bicep Curl,"Pronated, Bodyweight, Chains"
Press,Dumbbell Bench Press,"False, Staggered, Bodyweight"
Squat,Hack Squat,"Pronated, Machine, Feet Elevated"
Pull,Pull-Up,"Neutral, Split, Bodyweight"
Isolation,Calf Raise,"Mixed, Staggered, Cable"
Squat,Hack Squat,"False, Wide, Machine"
Squat,Back Squat,"Pronated, Shoulder Width, Dumbbell"
Press,Machine Chest Press,"Pronated, Smith Machine, Bands"
Press,Overhead Press,"Mixed, Split, Barbell"
Isolation,Bicep Curl,"Neutral, Smith Machine, Deficit"
Press,Dumbbell Bench Press,"Neutral, Staggered, Bodyweight"
Squat,Zercher Squat,"Pronated, Bodyweight, Chains"
Isolation,Lateral Raise,"Mixed, Wide, Machine"
Squat,Belt Squat,"Mixed, Shoulder Width, Dumbbell"
Press,Dip,"Supinated, Split, Machine"
Pull,Lat Pulldown,"Neutral, Cable, Deficit"
Isolation,Rear Delt Fly,"Neutral, Smith Machine, Single Arm"
Squat,Goblet Squat,"Supinated, Shoulder Width, Dumbbell"
Isolation,Bicep Curl,"Neutral, Machine, Chains"
Hinge,Back Extension,"Neutral, Bodyweight, Chains"
Hinge,Hip Thrust,"Supinated, Barbell, Bands"
Squat,Zercher Squat,"Neutral, Smith Machine, Deficit"
Press,Smith Machine Press,"Neutral, Cable, Bands"
Pull,Barbell Row,"Neutral, Dumbbell, Chains"
Press,Decline Bench Press,"Neutral, Smith Machine, Feet Elevated"
Squat,Zercher Squat,"Supinated, Shoulder Width, Cable"
Press,Dip,"Pronated, Wide, Smith Machine"
Pull,Pull-Up,"Pronated, Staggered, Smith Machine"
Isolation,Bicep Curl,"Supinated, Bodyweight, Bands"
Hinge,Good Morning,"Pronated, Split, Barbell"
Press,Dip,"Pronated, Narrow, Smith Machine"
Press,Overhead Press,"Pronated, Staggered, Bodyweight"
Press,Barbell Bench Press,"Neutral, Split, Smith Machine"
Press,Decline Bench Press,"Supinated, Cable, Feet Elevated"
Hinge,Back Extension,"Pronated, Wide, Machine"
Squat,Front Squat,"Neutral, Narrow, Cable"
Isolation,Calf Raise,"Pronated, Bodyweight, Elevated Heels"
Press,Dip,"Pronated, Machine, Deficit"
Isolation,Bicep Curl,"False, Split, Barbell"
Hinge,Stiff-Leg Deadlift,"Neutral, Cable, Single Arm"
Press,Incline Bench Press,"Mixed, Staggered, Bodyweight"
Hinge,Romanian Deadlift,"Neutral, Shoulder Width, Bodyweight"
Pull,Chest Supported Row,"Supinated, Split, Barbell"
Isolation,Leg Curl,"Neutral, Barbell, Feet Elevated"
Hinge,Hip Thrust,"Neutral, Dumbbell, Feet Elevated"
Hinge,Back Extension,"False, Staggered, Dumbbell"
Isolation,Lateral Raise,"False, Split, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Staggered, Bodyweight"
Squat,Zercher Squat,"Neutral, Barbell, Chains"
Pull,Chest Supported Row,"Supinated, Shoulder Width, Bodyweight"
Pull,Chin-Up,"False, Wide, Dumbbell"
Hinge,Back Extension,"Supinated, Staggered, Dumbbell"
Hinge,Back Extension,"Supinated, Machine, Elevated Heels"
Hinge,Deadlift,"Mixed, Narrow, Machine"
Isolation,Rear Delt Fly,"Supinated, Staggered, Barbell"
Press,Overhead Press,"Pronated, Shoulder Width, Cable"
Pull,Chest Supported Row,Standard
Isolation,Tricep Pushdown,"Neutral, Shoulder Width, Barbell"
Press,Dip,"Mixed, Split, Bodyweight"
Press,Overhead Press,"Pronated, Dumbbell, Bands"
Hinge,Romanian Deadlift,"False, Narrow, Machine"
Isolation,Calf Raise,"Pronated, Dumbbell, Feet Elevated"
Press,Dumbbell Bench Press,"Supinated, Dumbbell, Deficit"
Pull,Barbell Row,"Supinated, Machine, Single Arm"
Isolation,Tricep Pushdown,"False, Shoulder Width, Bodyweight"
Hinge,Back Extension,"Mixed, Narrow, Bodyweight"
Pull,Chin-Up,"Neutral, Shoulder Width, Barbell"
Hinge,Romanian Deadlift,"Neutral, Bodyweight, Bands"
Squat,Belt Squat,"Pronated, Dumbbell, Chains"
Press,Smith Machine Press,"Neutral, Shoulder Width, Smith Machine"
Squat,Belt Squat,"Pronated, Machine, Single Arm"
Isolation,Tricep Pushdown,"False, Shoulder Width, Dumbbell"
Hinge,Deadlift,"False, Narrow, Bodyweight"
Squat,Zercher Squat,"Pronated, Cable, Deficit"
Isolation,Lateral Raise,"False, Narrow, Dumbbell"
Press,Overhead Press,"False, Wide, Barbell"
Squat,Back Squat,"Mixed, Split, Barbell"
Press,Overhead Press,"Pronated, Shoulder Width, Barbell"
Isolation,Calf Raise,"Supinated, Narrow, Cable"
Pull,Cable Row,"Neutral, Smith Machine, Bands"
Pull,Chin-Up,"False, Shoulder Width, Bodyweight"
Press,Overhead Press,"Neutral, Barbell, Elevated Heels"
Squat,Goblet Squat,"Neutral, Staggered, Barbell"
Squat,Goblet Squat,"Neutral, Barbell, Deficit"
Pull,Barbell Row,"Supinated, Bodyweight, Elevated Heels"
Squat,Back Squat,"Supinated, Bodyweight, Feet Elevated"
Squat,Hack Squat,"Neutral, Wide, Barbell"
Press,Dip,"Pronated, Cable, Single Arm"
Press,Overhead Press,"Supinated, Barbell, Single Arm"
Press,Machine Chest Press,"Neutral, Wide, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Machine, Bands"
Press,Dip,"Neutral, Smith Machine, Feet Elevated"
Hinge,Stiff-Leg Deadlift,"Neutral, Shoulder Width, Bodyweight"
Isolation,Leg Extension,"Pronated, Machine, Feet Elevated"
Hinge,Back Extension,"Pronated, Cable, Feet Elevated"
Press,Decline Bench Press,"Neutral, Dumbbell, Deficit"
Press,Dumbbell Bench Press,"Pronated, Staggered, Barbell"
Hinge,Hip Thrust,"Supinated, Staggered, Bodyweight"
Squat,Back Squat,"Pronated, Staggered, Bodyweight"
Squat,Hack Squat,"Neutral, Barbell, Deficit"
Isolation,Leg Curl,"Mixed, Staggered, Machine"
Isolation,Bicep Curl,"Supinated, Smith Machine, Feet Elevated"
Pull,Chin-Up,"Pronated, Smith Machine, Chains"
Hinge,Hip Thrust,"Pronated, Dumbbell, Single Arm"
Press,Dip,"Supinated, Cable, Feet Elevated"
Squat,Zercher Squat,"Neutral, Barbell, Bands"
Press,Overhead Press,"Neutral, Wide, Machine"
Squat,Goblet Squat,"Neutral, Cable, Feet Elevated"
Pull,T-Bar Row,"Supinated, Split, Barbell"
Hinge,Back Extension,"Supinated, Split, Cable"
Squat,Goblet Squat,"Supinated, Staggered, Machine"
Squat,Safety Bar Squat,"Mixed, Shoulder Width, Cable"
Pull,Barbell Row,"Pronated, Cable, Elevated Heels"
Squat,Safety Bar Squat,"Pronated, Bodyweight, Feet Elevated"
Squat,Belt Squat,"Supinated, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Staggered, Cable"
Press,Incline Bench Press,"Pronated, Bodyweight, Deficit"
Press,Overhead Press,"Neutral, Machine, Bands"
Pull,Chin-Up,"Mixed, Shoulder Width, Bodyweight"
Isolation,Bicep Curl,"Neutral, Machine, Elevated Heels"
Squat,Belt Squat,"Neutral, Smith Machine, Elevated Heels"
Squat,Safety Bar Squat,"Supinated, Split, Dumbbell"
Pull,T-Bar Row,"Supinated, Shoulder Width, Bodyweight"
Squat,Hack Squat,"Neutral, Cable, Feet Elevated"
Pull,T-Bar Row,"Neutral, Smith Machine, Elevated Heels"
Squat,Front Squat,"Neutral, Wide, Bodyweight"
Squat,Hack Squat,"Supinated, Staggered, Machine"
Press,Barbell Bench Press,"Neutral, Narrow, Bodyweight"
Isolation,Rear Delt Fly,"Supinated, Smith Machine, Single Arm"
Squat,Belt Squat,Standard
Isolation,Leg Extension,"Neutral, Split, Bodyweight"
Hinge,Stiff-Leg Deadlift,"False, Narrow, Machine"
Press,Decline Bench Press,"Supinated, Cable, Deficit"
Pull,Barbell Row,"Mixed, Split, Machine"
Hinge,Deadlift,"Supinated, Narrow, Dumbbell"
Pull,T-Bar Row,Standard
Press,Barbell Bench Press,"Pronated, Narrow, Cable"
Squat,Back Squat,"Supinated, Smith Machine, Bands"
Squat,Safety Bar Squat,"Supinated, Split, Machine"
Squat,Goblet Squat,"Neutral, Dumbbell, Elevated Heels"
Press,Machine Chest Press,"Neutral, Smith Machine, Chains"
Pull,Pull-Up,"Supinated, Barbell, Bands"
Pull,Chest Supported Row,"Pronated, Shoulder Width, Cable"
Isolation,Leg Curl,"Neutral, Bodyweight, Chains"
Pull,Cable Row,"Supinated, Bodyweight, Chains"
Press,Machine Chest Press,"Supinated, Barbell, Feet Elevated"
Press,Overhead Press,"Pronated, Bodyweight, Chains"
Hinge,Romanian Deadlift,"False, Wide, Dumbbell"
Isolation,Tricep Pushdown,"False, Staggered, Bodyweight"
Squat,Zercher Squat,"False, Wide, Smith Machine"
Hinge,Deadlift,"Supinated, Machine, Feet Elevated"
Squat,Front Squat,"Pronated, Smith Machine, Feet Elevated"
Squat,Zercher Squat,"False, Shoulder Width, Machine"
Hinge,Back Extension,"False, Staggered, Machine"
Isolation,Leg Extension,"Pronated, Staggered, Smith Machine"
Squat,Hack Squat,"Neutral, Dumbbell, Elevated Heels"
Hinge,Hip Thrust,"Supinated, Dumbbell, Feet Elevated"
Pull,Chest Supported Row,"Pronated, Dumbbell, Bands"
Press,Machine Chest Press,"False, Narrow, Barbell"
Squat,Hack Squat,"False, Wide, Bodyweight"
Isolation,Rear Delt Fly,"Neutral, Cable, Chains"
Press,Overhead Press,"Pronated, Barbell, Elevated Heels"
Squat,Back Squat,"Pronated, Shoulder Width, Barbell"
Press,Overhead Press,"Neutral, Smith Machine, Deficit"
Isolation,Tricep Pushdown,"Neutral, Staggered, Bodyweight"
Isolation,Leg Curl,"Pronated, Wide, Machine"
Squat,Back Squat,"Neutral, Barbell, Elevated Heels"
Press,Barbell Bench Press,"Neutral, Smith Machine, Bands"
Press,Overhead Press,"Supinated, Shoulder Width, Cable"
Press,Barbell Bench Press,"Pronated, Staggered, Dumbbell"
Press,Barbell Bench Press,"Supinated, Wide, Barbell"
Press,Dumbbell Bench Press,"Mixed, Wide, Machine"
Press,Decline Bench Press,"Mixed, Wide, Bodyweight"
Pull,Chin-Up,"False, Staggered, Bodyweight"
Pull,Barbell Row,"Pronated, Shoulder Width, Machine"
Squat,Front Squat,"False, Split, Machine"
Pull,Chin-Up,"Supinated, Bodyweight, Elevated Heels"
Hinge,Hip Thrust,"Mixed, Narrow, Cable"
Hinge,Hip Thrust,"Pronated, Dumbbell, Elevated Heels"
Press,Smith Machine Press,"Neutral, Narrow, Dumbbell"
Squat,Belt Squat,"Mixed, Split, Barbell"
Pull,Pull-Up,"Neutral, Dumbbell, Feet Elevated"
Pull,Barbell Row,"Supinated, Dumbbell, Single Arm"
Isolation,Rear Delt Fly,"Neutral, Bodyweight, Feet Elevated"
Press,Dumbbell Bench Press,"Pronated, Cable, Bands"
Isolation,Leg Curl,"False, Staggered, Dumbbell"
Press,Decline Bench Press,"Neutral, Narrow, Cable"
Press,Overhead Press,"Supinated, Shoulder Width, Smith Machine"
